M,N,K,Latency(ms),TFlops
32,12288,12288,0.2828653061224489,34.16567551020408
64,12288,12288,0.332408,58.16310599999998
128,12288,12288,0.3331019999999999,116.09316600000004
256,12288,12288,0.5607420000000001,137.8709420000001
512,12288,12288,1.0935160000000002,141.394896
1024,12288,12288,2.1574220000000004,143.33608600000002
2048,12288,12288,4.1986360000000005,147.65676599999995
4096,12288,12288,7.147247999999996,176.11570600000007
8192,12288,12288,11.587746,213.493898
16384,12288,12288,23.079007999999998,214.38590600000003
32768,12288,12288,46.749607999999995,211.67710999999997
8192,32,32,0.038765999999999995,0.5455720000000001
8192,64,64,0.07105000000000002,0.9445499999999999
8192,128,128,0.07173800000000001,3.7423060000000006
8192,256,256,0.07159399999999999,14.999121999999995
8192,512,512,0.108294,39.65740600000001
8192,1024,1024,0.17993799999999993,95.47174199999999
8192,2048,2048,0.5114679999999998,134.37719399999997
8192,4096,4096,1.8761259999999995,146.51454200000006
8192,8192,8192,6.5771599999999975,168.58036800000002
8192,16384,16384,20.349728,216.12865399999995
8192,32768,32768,86.30351,203.84365000000003
