512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0684ms, 3.9230Tflops
512, 512, 512, 0.0226ms, 11.8516Tflops
512, 512, 512, 0.0684ms, 3.9230Tflops
512, 512, 512, 0.0226ms, 11.8516Tflops
512, 512, 512, 0.0709ms, 3.7845Tflops
512, 512, 512, 0.0229ms, 11.7281Tflops
512, 512, 512, 0.0699ms, 3.8427Tflops
512, 512, 512, 0.0224ms, 11.9777Tflops
512, 512, 512, 0.0689ms, 3.8958Tflops
512, 512, 512, 0.0224ms, 11.9777Tflops
512, 512, 512, 0.0687ms, 3.9094Tflops
512, 512, 512, 0.0226ms, 11.8516Tflops
512, 512, 512, 0.0688ms, 3.9026Tflops
512, 512, 512, 0.0226ms, 11.8516Tflops
512, 512, 512, 0.0689ms, 3.8958Tflops
512, 512, 512, 0.0225ms, 11.9143Tflops
512, 512, 512, 0.0708ms, 3.7909Tflops
512, 512, 512, 0.0226ms, 11.8516Tflops
512, 512, 512, 0.0701ms, 3.8296Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0687ms, 3.9094Tflops
512, 512, 512, 0.0224ms, 11.9777Tflops
512, 512, 512, 0.0684ms, 3.9230Tflops
512, 512, 512, 0.0229ms, 11.7281Tflops
512, 512, 512, 0.0715ms, 3.7530Tflops
512, 512, 512, 0.0226ms, 11.8516Tflops
512, 512, 512, 0.0678ms, 3.9575Tflops
512, 512, 512, 0.0219ms, 12.2380Tflops
512, 512, 512, 0.0677ms, 3.9644Tflops
512, 512, 512, 0.0226ms, 11.8516Tflops
512, 512, 512, 0.0689ms, 3.8958Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0684ms, 3.9230Tflops
512, 512, 512, 0.0224ms, 11.9777Tflops
512, 512, 512, 0.0687ms, 3.9094Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0682ms, 3.9367Tflops
512, 512, 512, 0.0226ms, 11.8516Tflops
512, 512, 512, 0.0706ms, 3.8037Tflops
512, 512, 512, 0.0224ms, 11.9777Tflops
512, 512, 512, 0.0688ms, 3.9026Tflops
512, 512, 512, 0.0224ms, 11.9777Tflops
512, 512, 512, 0.0684ms, 3.9230Tflops
512, 512, 512, 0.0231ms, 11.6072Tflops
512, 512, 512, 0.0689ms, 3.8958Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0682ms, 3.9367Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0679ms, 3.9505Tflops
512, 512, 512, 0.0219ms, 12.2380Tflops
512, 512, 512, 0.0670ms, 4.0068Tflops
512, 512, 512, 0.0224ms, 11.9777Tflops
512, 512, 512, 0.0687ms, 3.9094Tflops
512, 512, 512, 0.0224ms, 11.9777Tflops
512, 512, 512, 0.0687ms, 3.9094Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0682ms, 3.9367Tflops
512, 512, 512, 0.0221ms, 12.1719Tflops
512, 512, 512, 0.0684ms, 3.9230Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0682ms, 3.9367Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0694ms, 3.8691Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0684ms, 3.9230Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0684ms, 3.9230Tflops
512, 512, 512, 0.0219ms, 12.2380Tflops
512, 512, 512, 0.0670ms, 4.0068Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0693ms, 3.8757Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0684ms, 3.9230Tflops
512, 512, 512, 0.0224ms, 11.9777Tflops
512, 512, 512, 0.0694ms, 3.8691Tflops
512, 512, 512, 0.0226ms, 11.8516Tflops
512, 512, 512, 0.0687ms, 3.9094Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0683ms, 3.9298Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0684ms, 3.9230Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0683ms, 3.9298Tflops
512, 512, 512, 0.0236ms, 11.3727Tflops
512, 512, 512, 0.0694ms, 3.8691Tflops
512, 512, 512, 0.0224ms, 11.9777Tflops
512, 512, 512, 0.0691ms, 3.8824Tflops
512, 512, 512, 0.0224ms, 11.9777Tflops
512, 512, 512, 0.0687ms, 3.9094Tflops
512, 512, 512, 0.0224ms, 11.9777Tflops
512, 512, 512, 0.0696ms, 3.8558Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0682ms, 3.9367Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0670ms, 4.0068Tflops
512, 512, 512, 0.0229ms, 11.7281Tflops
512, 512, 512, 0.0699ms, 3.8427Tflops
512, 512, 512, 0.0229ms, 11.7281Tflops
512, 512, 512, 0.0713ms, 3.7656Tflops
