32, 12288, 12288, 0.1169ms, 82.6921Tflops
64, 12288, 12288, 0.1516ms, 127.4625Tflops
128, 12288, 12288, 0.2813ms, 137.4325Tflops
256, 12288, 12288, 0.5405ms, 143.0261Tflops
512, 12288, 12288, 1.0591ms, 145.9972Tflops
1024, 12288, 12288, 2.0961ms, 147.5296Tflops
2048, 12288, 12288, 4.1702ms, 148.3079Tflops
4096, 12288, 12288, 8.3184ms, 148.7001Tflops
8192, 12288, 12288, 16.6149ms, 148.8970Tflops
16384, 12288, 12288, 33.2077ms, 148.9956Tflops
32768, 12288, 12288, 66.3934ms, 149.0450Tflops
8192, 32, 32, 0.0223ms, 0.7514Tflops
8192, 64, 64, 0.0227ms, 2.9618Tflops
8192, 128, 128, 0.0238ms, 11.2786Tflops
8192, 256, 256, 0.0292ms, 36.7698Tflops
8192, 512, 512, 0.0508ms, 84.5349Tflops
8192, 1024, 1024, 0.1372ms, 125.1920Tflops
8192, 2048, 2048, 0.4829ms, 142.3021Tflops
8192, 4096, 4096, 1.8657ms, 147.3363Tflops
8192, 8192, 8192, 7.3966ms, 148.6509Tflops
8192, 16384, 16384, 29.5204ms, 148.9833Tflops
8192, 32768, 32768, 118.0156ms, 149.0666Tflops
