32, 12288, 12288, 0.4395ms, 21.9864Tflops
64, 12288, 12288, 0.4412ms, 43.8026Tflops
128, 12288, 12288, 0.7375ms, 52.4151Tflops
256, 12288, 12288, 1.3649ms, 56.6392Tflops
512, 12288, 12288, 2.6199ms, 59.0173Tflops
1024, 12288, 12288, 5.1298ms, 60.2828Tflops
2048, 12288, 12288, 10.1496ms, 60.9362Tflops
4096, 12288, 12288, 20.1891ms, 61.2682Tflops
8192, 12288, 12288, 40.2682ms, 61.4356Tflops
16384, 12288, 12288, 80.4265ms, 61.5196Tflops
32768, 12288, 12288, 160.7429ms, 61.5617Tflops
8192, 32, 32, 0.1111ms, 0.1510Tflops
8192, 64, 64, 0.1123ms, 0.5977Tflops
8192, 128, 128, 0.1146ms, 2.3426Tflops
8192, 256, 256, 0.1274ms, 8.4261Tflops
8192, 512, 512, 0.1797ms, 23.8982Tflops
8192, 1024, 1024, 0.3889ms, 44.1782Tflops
8192, 2048, 2048, 1.2255ms, 56.0744Tflops
8192, 4096, 4096, 4.5720ms, 60.1217Tflops
8192, 8192, 8192, 17.9581ms, 61.2265Tflops
8192, 16384, 16384, 71.5024ms, 61.5091Tflops
8192, 32768, 32768, 285.6796ms, 61.5801Tflops
