512, 512, 512, 0.0219ms, 12.2380Tflops
512, 512, 512, 0.0677ms, 3.9644Tflops
512, 512, 512, 0.0219ms, 12.2380Tflops
512, 512, 512, 0.0685ms, 3.9162Tflops
512, 512, 512, 0.0217ms, 12.3725Tflops
512, 512, 512, 0.0665ms, 4.0355Tflops
512, 512, 512, 0.0224ms, 11.9777Tflops
512, 512, 512, 0.0685ms, 3.9162Tflops
512, 512, 512, 0.0217ms, 12.3725Tflops
512, 512, 512, 0.0660ms, 4.0646Tflops
512, 512, 512, 0.0219ms, 12.2380Tflops
512, 512, 512, 0.0679ms, 3.9505Tflops
512, 512, 512, 0.0224ms, 11.9777Tflops
512, 512, 512, 0.0684ms, 3.9230Tflops
512, 512, 512, 0.0221ms, 12.1719Tflops
512, 512, 512, 0.0672ms, 3.9926Tflops
512, 512, 512, 0.0224ms, 11.9777Tflops
512, 512, 512, 0.0690ms, 3.8891Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0683ms, 3.9298Tflops
512, 512, 512, 0.0219ms, 12.2380Tflops
512, 512, 512, 0.0674ms, 3.9855Tflops
512, 512, 512, 0.0217ms, 12.3725Tflops
512, 512, 512, 0.0670ms, 4.0068Tflops
512, 512, 512, 0.0224ms, 11.9777Tflops
512, 512, 512, 0.0682ms, 3.9367Tflops
512, 512, 512, 0.0219ms, 12.2380Tflops
512, 512, 512, 0.0668ms, 4.0211Tflops
512, 512, 512, 0.0225ms, 11.9143Tflops
512, 512, 512, 0.0682ms, 3.9367Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0684ms, 3.9230Tflops
512, 512, 512, 0.0224ms, 11.9777Tflops
512, 512, 512, 0.0677ms, 3.9644Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0687ms, 3.9094Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0688ms, 3.9026Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0689ms, 3.8958Tflops
512, 512, 512, 0.0219ms, 12.2380Tflops
512, 512, 512, 0.0672ms, 3.9926Tflops
512, 512, 512, 0.0219ms, 12.2380Tflops
512, 512, 512, 0.0671ms, 3.9996Tflops
512, 512, 512, 0.0219ms, 12.2380Tflops
512, 512, 512, 0.0681ms, 3.9436Tflops
512, 512, 512, 0.0219ms, 12.2380Tflops
512, 512, 512, 0.0675ms, 3.9784Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0679ms, 3.9505Tflops
512, 512, 512, 0.0219ms, 12.2380Tflops
512, 512, 512, 0.0672ms, 3.9926Tflops
512, 512, 512, 0.0219ms, 12.2380Tflops
512, 512, 512, 0.0675ms, 3.9784Tflops
512, 512, 512, 0.0223ms, 12.0417Tflops
512, 512, 512, 0.0684ms, 3.9230Tflops
512, 512, 512, 0.0217ms, 12.3725Tflops
512, 512, 512, 0.0675ms, 3.9784Tflops
512, 512, 512, 0.0217ms, 12.3725Tflops
512, 512, 512, 0.0675ms, 3.9784Tflops
512, 512, 512, 0.0217ms, 12.3725Tflops
512, 512, 512, 0.0677ms, 3.9644Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0684ms, 3.9230Tflops
512, 512, 512, 0.0224ms, 11.9777Tflops
512, 512, 512, 0.0685ms, 3.9162Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0679ms, 3.9505Tflops
512, 512, 512, 0.0217ms, 12.3725Tflops
512, 512, 512, 0.0498ms, 5.3871Tflops
512, 512, 512, 0.0219ms, 12.2380Tflops
512, 512, 512, 0.0670ms, 4.0068Tflops
512, 512, 512, 0.0219ms, 12.2380Tflops
512, 512, 512, 0.0668ms, 4.0211Tflops
512, 512, 512, 0.0219ms, 12.2380Tflops
512, 512, 512, 0.0677ms, 3.9644Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0691ms, 3.8824Tflops
512, 512, 512, 0.0222ms, 12.1065Tflops
512, 512, 512, 0.0677ms, 3.9644Tflops
512, 512, 512, 0.0219ms, 12.2380Tflops
512, 512, 512, 0.0676ms, 3.9714Tflops
512, 512, 512, 0.0219ms, 12.2380Tflops
512, 512, 512, 0.0675ms, 3.9784Tflops
512, 512, 512, 0.0219ms, 12.2380Tflops
512, 512, 512, 0.0674ms, 3.9855Tflops
512, 512, 512, 0.0224ms, 11.9777Tflops
512, 512, 512, 0.0691ms, 3.8824Tflops
512, 512, 512, 0.0225ms, 11.9143Tflops
512, 512, 512, 0.0691ms, 3.8824Tflops
512, 512, 512, 0.0229ms, 11.7281Tflops
512, 512, 512, 0.0679ms, 3.9505Tflops
512, 512, 512, 0.0217ms, 12.3725Tflops
512, 512, 512, 0.0675ms, 3.9784Tflops
512, 512, 512, 0.0224ms, 11.9777Tflops
512, 512, 512, 0.0684ms, 3.9230Tflops
512, 512, 512, 0.0224ms, 11.9777Tflops
512, 512, 512, 0.0689ms, 3.8958Tflops
512, 512, 512, 0.0219ms, 12.2380Tflops
512, 512, 512, 0.0674ms, 3.9855Tflops
