m,n,k,mk_input,mk_input_iterations,kn_input,kn_input_iterations,mn_output,mn_output_iterations,read,read_iterations,compute,compute_iterations,pipelined_read_compute,pipelined_read_compute_iterations,final_compute,final_compute_iterations,write,write_iterations,reduction,reduction_iterations,total
64,32,1024,91,1,46,1,3,1,395378551,4194303,4403624937,8388606,4403624937,4194303,1047,1,12582909,4194303,3,1,4416209036
64,32,1024,91,1,46,1,3,1,395378551,4194303,2595880344,8388606,2595880344,4194303,616,1,12582909,4194303,3,1,2608464012
64,32,1024,91,1,46,1,3,1,395378551,4194303,2595880344,8388606,2595880344,4194303,616,1,12582909,4194303,3,1,2608464012
64,32,1024,91,1,46,1,3,1,395378551,4194303,2461662648,8388606,2461662648,4194303,584,1,12582909,4194303,3,1,2474246284
64,32,1024,91,1,46,1,3,1,395378551,4194303,2864315736,8388606,2864315736,4194303,680,1,12582909,4194303,3,1,2876899468
64,32,1024,91,1,46,1,3,1,395378551,4194303,4403624937,8388606,4403624937,4194303,1047,1,12582909,4194303,3,1,4416209036
64,32,1024,91,1,46,1,3,1,395378551,4194303,2587491738,8388606,2587491738,4194303,614,1,12582909,4194303,3,1,2600075404
64,32,1024,91,1,46,1,3,1,395378551,4194303,1522138776,8388606,1522138776,4194303,360,1,12582909,4194303,3,1,1534722188
64,32,1024,91,1,46,1,3,1,395378551,4194303,1522138776,8388606,1522138776,4194303,360,1,12582909,4194303,3,1,1534722188
64,32,1024,91,1,46,1,3,1,395378551,4194303,1387921080,8388606,1387921080,4194303,328,1,12582909,4194303,3,1,1400504460
64,32,1024,91,1,46,1,3,1,395378551,4194303,1790574168,8388606,1790574168,4194303,424,1,12582909,4194303,3,1,1803157644
64,32,1024,91,1,46,1,3,1,395378551,4194303,2587491738,8388606,2587491738,4194303,614,1,12582909,4194303,3,1,2600075404
64,32,1024,91,1,46,1,3,1,395378551,4194303,1513750170,8388606,1513750170,4194303,358,1,12582909,4194303,3,1,1526333580
64,32,1024,91,1,46,1,3,1,395378551,4194303,985267992,8388606,985267992,4194303,232,1,12582909,4194303,3,1,997851276
64,32,1024,91,1,46,1,3,1,395378551,4194303,985267992,8388606,985267992,4194303,232,1,12582909,4194303,3,1,997851276
64,32,1024,91,1,46,1,3,1,395378551,4194303,851050296,8388606,851050296,4194303,200,1,12582909,4194303,3,1,863633548
64,32,1024,91,1,46,1,3,1,395378551,4194303,1253703384,8388606,1253703384,4194303,296,1,12582909,4194303,3,1,1266286732
64,32,1024,91,1,46,1,3,1,395378551,4194303,1513750170,8388606,1513750170,4194303,358,1,12582909,4194303,3,1,1526333580
64,32,1024,91,1,46,1,3,1,395378551,4194303,976879386,8388606,976879386,4194303,230,1,12582909,4194303,3,1,989462668
64,32,1024,91,1,46,1,3,1,395378551,4194303,716832600,8388606,716832600,4194303,168,1,12582909,4194303,3,1,729415820
