M,N,GElements/s
4096,32,8.321182707612305
4096,64,16.313423358404684
4096,128,31.958512724250863
4096,256,60.27998341993612
4096,512,100.20716769179084
4096,1024,141.56596201612481
4096,2048,151.5194136105382
4096,4096,187.78015703673725
4096,8192,214.69044641924523
4096,16384,232.00536891810538
4096,32768,211.5997537862885
32,4096,7.167859398049244
64,4096,14.254398757709268
128,4096,26.522190877253124
256,4096,48.80623967871929
512,4096,81.86996017335194
1024,4096,119.15904421765268
2048,4096,145.250622247071
8192,4096,215.8899165859836
16384,4096,236.0124873014896
32768,4096,239.13668014876149
