M,N,GElements/s
4096,32,2.0680276481340747
4096,64,4.146735379646492
4096,128,8.265319723385812
4096,256,15.334562318834614
4096,512,25.336849804368573
4096,1024,36.71034704018576
4096,2048,37.80717561047793
4096,4096,46.94147215301646
4096,8192,40.36413090400603
4096,16384,44.33134667464421
4096,32768,58.60917875162991
32,4096,0.7534389547520357
64,4096,1.4480924592475972
128,4096,2.9163854606630366
256,4096,5.876027194006798
512,4096,11.798764915798948
1024,4096,20.003623486856547
2048,4096,33.693413369868274
8192,4096,92.94254427057115
16384,4096,128.61084884911543
32768,4096,138.62522234546392
