M,N,GElements/s
4096,64,3.4932877567567164
4096,128,6.8292647687950305
4096,256,13.367922526151975
4096,512,26.02018859383319
4096,1024,45.282332160658946
4096,2048,51.58998840004692
4096,4096,54.00517588462318
4096,8192,59.139611265270375
4096,16384,63.24214516626157
4096,32768,65.34532449073772
32,4096,0.7401627413938615
64,4096,1.4438760706185159
128,4096,2.872662646050947
256,4096,5.7024920236219465
512,4096,11.320583040164736
1024,4096,20.993062105508354
2048,4096,32.836558179031265
8192,4096,92.6056865693397
16384,4096,137.05415989361262
32768,4096,154.58226877130213
4096,32,1.7397335882531646
