m,n,read,read_iterations,compute,compute_iterations,write,write_iterations,total
4096,32,182,1,762,1,182,1,1126.0
4096,64,363,1,762,1,363,1,1488.0
4096,128,726,1,762,1,726,1,2214.0
4096,256,1451,1,762,1,1451,1,3664.0
4096,512,2901,1,762,1,2901,1,6564.0
4096,1024,5801,1,762,1,5801,1,12364.0
4096,2048,11602,1,1524,1,11602,1,24728.0
4096,4096,23205,2,3048,2,23205,2,49458.0
4096,8192,46410,4,6902,4,46410,4,99722.0
4096,16384,92819,7,67977,7,92819,7,253617.6
4096,32768,185638,13,356603,13,185638,13,727881.5999999999
32,4096,182,1,762,1,182,1,1126.0
64,4096,363,1,762,1,363,1,1488.0
128,4096,726,1,762,1,726,1,2214.0
256,4096,1451,1,762,1,1451,1,3664.0
512,4096,2901,1,762,1,2901,1,6564.0
1024,4096,5801,1,762,1,5801,1,12364.0
2048,4096,11602,1,1524,1,11602,1,24728.0
4096,4096,23205,2,3048,2,23205,2,49458.0
8192,4096,46410,4,5334,4,46410,4,98154.0
16384,4096,92819,7,9906,7,92819,7,195544.0
32768,4096,185638,13,19812,13,185638,13,391088.0
