m,n,k,mk_input,mk_input_iterations,kn_input,kn_input_iterations,mn_output,mn_output_iterations,read,read_iterations,compute,compute_iterations,pipelined_read_compute,pipelined_read_compute_iterations,final_compute,final_compute_iterations,write,write_iterations,reduction,reduction_iterations,total
64,32,512,46,1,23,1,3,1,6187,127,130175,254,130175,127,1025,1,381,127,0,0,131653
64,32,512,46,1,23,1,3,1,6187,127,75438,254,75438,127,594,1,381,127,0,0,76485
64,32,512,46,1,23,1,3,1,6187,127,75438,254,75438,127,594,1,381,127,0,0,76485
64,32,512,46,1,23,1,3,1,6187,127,71374,254,71374,127,562,1,381,127,0,0,72389
64,32,512,46,1,23,1,3,1,6187,127,83566,254,83566,127,658,1,381,127,0,0,84677
64,32,512,46,1,23,1,3,1,6187,127,130175,254,130175,127,1025,1,381,127,0,0,131653
64,32,512,46,1,23,1,3,1,6187,127,75438,254,75438,127,594,1,381,127,0,0,76485
64,32,512,46,1,23,1,3,1,6187,127,43180,254,43180,127,340,1,381,127,0,0,43973
64,32,512,46,1,23,1,3,1,6187,127,43180,254,43180,127,340,1,381,127,0,0,43973
64,32,512,46,1,23,1,3,1,6187,127,39116,254,39116,127,308,1,381,127,0,0,39877
64,32,512,46,1,23,1,3,1,6187,127,51308,254,51308,127,404,1,381,127,0,0,52165
64,32,512,46,1,23,1,3,1,6187,127,75438,254,75438,127,594,1,381,127,0,0,76485
64,32,512,46,1,23,1,3,1,6187,127,42926,254,42926,127,338,1,381,127,0,0,43717
64,32,512,46,1,23,1,3,1,6187,127,26924,254,26924,127,212,1,381,127,0,0,27589
64,32,512,46,1,23,1,3,1,6187,127,26924,254,26924,127,212,1,381,127,0,0,27589
64,32,512,46,1,23,1,3,1,6187,127,22860,254,22860,127,180,1,381,127,0,0,23493
64,32,512,46,1,23,1,3,1,6187,127,35052,254,35052,127,276,1,381,127,0,0,35781
64,32,512,46,1,23,1,3,1,6187,127,42926,254,42926,127,338,1,381,127,0,0,43717
64,32,512,46,1,23,1,3,1,6187,127,26670,254,26670,127,210,1,381,127,0,0,27333
64,32,512,46,1,23,1,3,1,6187,127,18796,254,18796,127,148,1,381,127,0,0,19397
64,32,512,46,1,23,1,3,1,6187,127,18796,254,18796,127,148,1,381,127,0,0,19397
64,32,512,46,1,23,1,3,1,6187,127,14732,254,14732,127,116,1,381,127,0,0,15301
64,32,512,46,1,23,1,3,1,6187,127,26924,254,26924,127,212,1,381,127,0,0,27589
64,32,512,46,1,23,1,3,1,6187,127,26670,254,26670,127,210,1,381,127,0,0,27333
64,32,512,46,1,23,1,3,1,6187,127,18542,254,18542,127,146,1,381,127,0,0,19141
64,32,512,46,1,23,1,3,1,6187,127,14732,254,14732,127,116,1,381,127,0,0,15301
64,32,512,46,1,23,1,3,1,6187,127,14732,254,14732,127,116,1,381,127,0,0,15301
64,32,512,46,1,23,1,3,1,6187,127,10668,254,10668,127,84,1,381,127,0,0,11205
64,32,512,46,1,23,1,3,1,6187,127,22860,254,22860,127,180,1,381,127,0,0,23493
64,32,512,46,1,23,1,3,1,6187,127,18542,254,18542,127,146,1,381,127,0,0,19141
64,32,512,46,1,23,1,3,1,6187,127,14478,254,14478,127,114,1,381,127,0,0,15045
64,32,512,46,1,23,1,3,1,6187,127,12700,254,12700,127,100,1,381,127,0,0,13253
64,32,512,46,1,23,1,3,1,6187,127,12700,254,12700,127,100,1,381,127,0,0,13253
64,32,512,46,1,23,1,3,1,6187,127,8636,254,8651,127,68,1,381,127,0,0,9172
64,32,512,46,1,23,1,3,1,6187,127,20828,254,20828,127,164,1,381,127,0,0,21445
64,32,512,46,1,23,1,3,1,6187,127,14478,254,14478,127,114,1,381,127,0,0,15045
64,32,256,23,1,12,1,3,1,6621,255,148794,510,148794,255,582,1,765,255,3,1,150182
